"SLOVENIJA";"Skupine nastanitvenih objektov - SKUPAJ";...;40698;110248;101708;...;41300;111985;103255;...;42414;117947;108836;...;42720;118817;109684;...;43100;121541;111907;...;42998;122177;112105;...;43218;123235;113131;...;44123;126809;116453
"SLOVENIJA";"Hoteli in podobni nastanitveni objekti";654;21720;48282;43921;667;22004;48627;44185;647;21697;48339;43851;648;22082;49293;44712;642;22015;49291;44526;639;22102;49351;44472;647;22072;49507;44567;681;22344;50262;45274
"SLOVENIJA";"Kampi";64;6958;19044;18991;63;6846;18563;18510;64;7276;21448;21263;67;7450;21690;21523;70;7335;22905;22737;74;7119;22660;22353;75;7313;23235;22932;81;7597;24227;23819
"SLOVENIJA";"Ostali nastanitveni objekti";...;12020;42922;38796;...;12450;44795;40560;...;13441;48160;43722;...;13188;47834;43449;...;13750;49345;44644;...;13777;50166;45280;...;13833;50493;45632;...;14182;52320;47360
"ZDRAVILIŠKE OBÈINE";"Skupine nastanitvenih objektov - SKUPAJ";...;8428;20910;19090;...;8408;21001;19194;...;8429;21777;19779;...;8731;22335;20296;...;8628;21845;19879;...;8778;22399;20291;...;8700;22232;20189;...;8753;22316;20272
"ZDRAVILIŠKE OBÈINE";"Hoteli in podobni nastanitveni objekti";96;5402;11177;10116;96;5342;11093;10016;98;5436;11784;10622;98;5641;12012;10800;94;5537;11618;10491;96;5658;11934;10783;96;5553;11709;10613;99;5581;11770;10671
"ZDRAVILIŠKE OBÈINE";"Kampi";7;1410;4137;4112;7;1410;4137;4112;7;1350;4237;4072;8;1390;4317;4152;7;1360;4197;4032;8;1393;4420;4160;7;1410;4388;4128;7;1410;4388;4128
"ZDRAVILIŠKE OBÈINE";"Ostali nastanitveni objekti";...;1616;5596;4862;...;1656;5771;5066;...;1643;5756;5085;...;1700;6006;5344;...;1731;6030;5356;...;1727;6045;5348;...;1737;6135;5448;...;1762;6158;5473
"Brežice";"Skupine nastanitvenih objektov - SKUPAJ";...;1483;4574;4242;...;1451;4555;4217;...;1472;4613;4246;...;1555;4812;4429;...;1571;4860;4487;...;1584;4909;4523;...;1572;4889;4504;...;1588;4945;4545
"Brežice";"Hoteli in podobni nastanitveni objekti";12;675;1727;1405;11;614;1583;1256;11;603;1546;1213;11;692;1724;1396;11;695;1730;1408;13;702;1747;1424;12;691;1731;1406;13;697;1748;1419
"Brežice";"Kampi";1;700;2400;2400;1;700;2400;2400;1;700;2400;2400;1;700;2400;2400;1;700;2400;2400;1;700;2400;2400;1;700;2400;2400;1;700;2400;2400
"Brežice";"Ostali nastanitveni objekti";...;108;447;437;...;137;572;561;...;169;667;633;...;163;688;633;...;176;730;679;...;182;762;699;...;181;758;698;...;191;797;726
"Dobrna";"Skupine nastanitvenih objektov - SKUPAJ";...;255;414;413;...;255;410;410;...;247;399;399;...;247;399;399;...;248;399;399;...;253;410;407;...;263;433;429;...;263;433;429
"Dobrna";"Hoteli in podobni nastanitveni objekti";3;247;399;399;3;247;399;399;3;247;399;399;3;247;399;399;3;248;399;399;3;248;399;399;4;263;433;429;4;263;433;429
"Dobrna";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Dobrna";"Ostali nastanitveni objekti";...;8;15;14;...;8;11;11;-;-;-;-;-;-;-;-;...;-;-;-;...;5;11;8;...;-;-;-;...;-;-;-
"Dolenjske Toplice";"Skupine nastanitvenih objektov - SKUPAJ";...;346;846;780;...;337;843;761;...;348;894;803;...;404;1117;1025;...;384;1007;920;...;378;1041;958;...;365;995;917;...;342;898;821
"Dolenjske Toplice";"Hoteli in podobni nastanitveni objekti";5;255;509;444;5;245;516;436;6;248;512;432;6;249;516;434;6;249;513;434;6;249;513;434;6;249;511;434;6;249;511;434
"Dolenjske Toplice";"Kampi";1;30;120;120;1;30;120;120;1;30;120;120;2;70;280;280;1;40;160;160;2;65;260;260;1;32;128;128;1;32;128;128
