"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";96
" ";" ";" ";"Število sob";5402
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11177
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10116
" ";" ";"2009"
" ";" ";" ";"Število objektov";96
" ";" ";" ";"Število sob";5342
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11093
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10016
" ";" ";"2010"
" ";" ";" ";"Število objektov";98
" ";" ";" ";"Število sob";5436
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11784
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10622
" ";" ";"2011"
" ";" ";" ";"Število objektov";98
" ";" ";" ";"Število sob";5641
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";12012
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10800
" ";" ";"2012"
" ";" ";" ";"Število objektov";94
" ";" ";" ";"Število sob";5537
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11618
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10491
" ";" ";"2013"
" ";" ";" ";"Število objektov";96
" ";" ";" ";"Število sob";5658
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11934
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10783
" ";" ";"2014"
" ";" ";" ";"Število objektov";96
" ";" ";" ";"Število sob";5553
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11709
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10613
" ";" ";"2015"
" ";" ";" ";"Število objektov";99
" ";" ";" ";"Število sob";5581
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11770
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10671
" ";" ";"2016"
" ";" ";" ";"Število objektov";104
" ";" ";" ";"Število sob";5602
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";11827
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";10724
" ";"Kampi"
" ";" ";"2008"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1410
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4137
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4112
" ";" ";"2009"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1410
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4137
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4112
" ";" ";"2010"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1350
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4237
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4072
" ";" ";"2011"
" ";" ";" ";"Število objektov";8
" ";" ";" ";"Število sob";1390
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4317
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4152
" ";" ";"2012"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1360
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4197
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4032
" ";" ";"2013"
" ";" ";" ";"Število objektov";8
" ";" ";" ";"Število sob";1393
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4420
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4160
" ";" ";"2014"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1410
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4388
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4128
" ";" ";"2015"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1410
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4388
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4128
" ";" ";"2016"
" ";" ";" ";"Število objektov";7
" ";" ";" ";"Število sob";1410
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";4388
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";4128
" ";"Ostali nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";1616
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";5596
