"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"DRŽAVE - SKUPAJ";3083713;9314038;2984828;9013773;3006272;8906399;3217966;9388095;3297556;9510663;3384491;9579033;3524020;9590642;3927530;10341699
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"DOMAÈI";1126022;3962756;1160897;4077480;1137166;3909368;1181314;3924164;1141944;3733459;1125921;3616782;1113196;3500233;1220749;3727256
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"TUJI";1957691;5351282;1823931;4936293;1869106;4997031;2036652;5463931;2155612;5777204;2258570;5962251;2410824;6090409;2706781;6614443
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Avstrija";210229;655565;207366;642242;201756;619259;222192;674194;240113;695555;242892;699850;265803;754018;282674;774562
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Belgija";41920;135155;33845;111140;35209;117980;45312;152612;48817;168219;54213;184816;50752;167896;55924;170796
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Bolgarija";20716;38851;19507;33699;18833;32426;21800;36436;20937;33521;23618;37361;28367;42462;30064;45350
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Bosna in Hercegovina";31058;101078;26881;77281;27299;66611;29356;70478;30372;72080;31948;76621;33565;77670;37799;85349
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Ciper";1390;3873;616;2042;778;2292;685;1880;1069;2486;1301;3152;1083;2983;846;2204
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Èeška republika";54957;127998;52417;124415;53205;127165;58817;141937;63077;157175;65464;166532;70325;174105;78461;196316
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Èrna gora";4039;11178;4188;10410;7277;17759;6801;16446;7126;17497;7985;18762;8177;17741;9513;20916
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Danska";14974;46782;13723;42790;15255;40059;16576;47605;16120;46625;16025;48026;14708;44258;14898;45223
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Estonija";2842;7005;1958;5246;2072;4874;2525;6442;2593;6451;2612;6549;2761;6815;3454;10089
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Finska";21828;62015;16549;44915;15082;39947;15629;41012;14412;37625;15824;43218;14277;37595;15668;41228
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Francija";66233;142651;60527;130752;62104;130968;67019;143478;67619;145968;72027;154148;75112;160074;83454;175776
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Grèija";6756;15137;7434;16911;6822;14435;6885;15312;7580;14717;8187;16857;8838;16290;7570;14993
