"Glavna sezona";"Vrsta obèine - SKUPAJ";100.0;25.1;26.3;21.4;8.1;6.8;5.2;1.3;5.9
"Glavna sezona";"Zdraviliške obèine";100.0;27.1;27.3;18.8;10.2;4.1;7.2;2.9;2.4
"Glavna sezona";"Gorske obèine";100.0;32.0;29.5;19.9;5.6;5.8;4.8;0.2;2.1
"Glavna sezona";"Obmorske obèine";100.0;27.1;28.5;25.1;6.9;3.5;4.6;1.5;2.7
"Glavna sezona";"Ljubljana";100.0;14.2;22.5;23.1;12.8;11.7;4.8;1.9;9.1
"Glavna sezona";"Mestne obèine in druge obèine";100.0;23.6;22.7;20.6;5.6;6.4;5.6;1.1;14.5
"April";"Vrsta obèine - SKUPAJ";100.0;26.9;28.6;14.9;7.0;5.0;5.7;2.6;9.4
"April";"Zdraviliške obèine";100.0;30.2M;32.9;9.3;6.7;7.7;2.7;2.1;8.4
"April";"Gorske obèine";100.0;34.9M;40.4M;12.4;4.8;1.1;3.4;0.3;2.6
"April";"Obmorske obèine";100.0;24.4;29.7;20.5;6.3;5.5;8.5;0.3;4.7
"April";"Ljubljana";100.0;15.9;31.0;16.7;10.4;5.7;5.1;4.9;10.3
"April";"Mestne obèine in druge obèine";100.0;35.6M;10.1;12.1;5.4;4.7;7.3;4.2;20.4M
"Maj";"Vrsta obèine - SKUPAJ";100.0;23.3;27.9;18.6;4.3;5.1;7.1;2.3;11.4
"Maj";"Zdraviliške obèine";100.0;31.0M;19.0;15.0;3.3;9.2;7.1;4.6;10.9M
"Maj";"Gorske obèine";100.0;22.6;36.3;20.2M;-;-;12.2;-;8.8M
"Maj";"Obmorske obèine";100.0;27.1;32.1;16.7;1.9;2.2;2.2;2.8;15.0M
"Maj";"Ljubljana";100.0;16.7;26.9;17.4;9.1;8.1;8.8;2.6;10.4
"Maj";"Mestne obèine in druge obèine";100.0;25.2;19.8;22.3;5.7;7.7;4.0;2.6;12.7M
"September";"Vrsta obèine - SKUPAJ";100.0;26.7;25.9;18.4;6.9;6.1;6.1;1.7;8.3
"September";"Zdraviliške obèine";100.0;40.5;22.7;11.0;7.1;4.0;6.0;3.6;5.0
"September";"Gorske obèine";100.0;39.1;26.7;19.0;4.2;2.8;4.8;0.5;2.8
"September";"Obmorske obèine";100.0;30.3M;26.0;21.7;7.3;5.8;2.7;2.3;3.9
"September";"Ljubljana";100.0;10.7;26.9;20.8;9.9;10.3;10.2;1.6;9.4
"September";"Mestne obèine in druge obèine";100.0;28.3M;24.6M;14.2;4.3;4.3;3.4;1.7;19.2M
